Source,X,Y,Z,Nanoseconds=
6939,0.575,-0.732,-0.432,5281563089
6939,0.477,-0.708,-0.264,5281571236
6939,0.479,-0.917,-0.064,5281579266
6939,0.326,-0.631,-0.04,5281587680
6939,0.51,-0.666,-0.446,5281595712
6939,0.378,-0.539,-0.248,5281603879
6939,0.334,-0.632,-0.08,5281611777
6939,0.289,-0.675,0.023,5281620170
6939,0.387,-0.856,-0.091,5281628480
6939,0.336,-0.843,0.014,5281636832
6939,0.347,-0.617,-0.167,5281644931
6939,0.318,-0.375,-0.336,5281653107
6939,0.359,-0.658,-0.16,5281661265
6939,0.233,-0.488,-0.063,5281669436
6939,0.215,-0.571,0.039,5281677630
6939,0.229,-0.659,0.135,5281685877
6939,0.175,-0.527,0.151,5281694040
6939,0.21,-0.617,0.191,5281702497
6939,0.109,-0.488,0.227,5281710838
6939,0.141,-0.563,0.228,5281719086
6939,0.168,-0.415,-0.061,5281727163
6939,0.282,-0.712,-0.005,5281735367
6939,0.173,-0.535,-0.01,5281743797
6939,0.284,-0.539,-0.224,5281752054
6939,0.402,-0.569,-0.371,5281760171
6939,0.305,-0.64,-0.255,5281768313
6939,0.19,-0.491,-0.15,5281776257
6939,0.277,-0.466,-0.327,5281784433
6939,0.32,-0.558,-0.202,5281792380
6939,0.205,-0.443,-0.119,5281800272
6939,0.187,-0.544,-0.038,5281808375
6939,0.13,-0.447,0.063,5281816462
6939,0.205,-0.481,-0.161,5281824700
6939,0.246,-0.544,-0.085,5281832805
6939,0.225,-0.619,-0.002,5281841159
6939,0.227,-0.434,-0.201,5281849417
6939,0.174,-0.37,-0.111,5281857463
6939,0.228,-0.412,-0.301,5281865799
6939,0.405,-0.324,-0.704,5281873828
6939,0.604,-0.269,-1.005,5281882270
6939,0.536,-0.131,-0.931,5281890261
6939,0.447,-0.351,-0.669,5281898238
6939,0.394,-0.471,-0.457,5281906139
6939,0.313,-0.559,-0.267,5281914080
6939,0.385,-0.856,-0.083,5281921955
6939,0.334,-0.847,0.025,5281930114
6939,0.228,-0.7,0.105,5281938295
6939,0.31,-0.719,-0.017,5281946778
6939,0.286,-0.759,0.086,5281954977
6939,0.44,-0.917,-0.07,5281963121
6939,0.398,-0.681,-0.27,5281971160
6939,0.266,-0.561,-0.095,5281979195
6939,0.237,-0.606,-0.001,5281987311
